'aute	s_ w t e
cuarta	k w ˈa ɾ t a
cuarto	k w ˈa ɾ t o
cuatro	k w ˈa t ɾ o
cuatrocientas	k w a t ɾ o θ j ˈe n t a s
cuatrocientos	k w a t ɾ o θ j ˈe n t o s
cubierta	k u β j ˈe ɾ t a
cubierto	k u β j ˈe ɾ t o
cubran	k ˈu β ɾ a n
cubre	k ˈu β ɾ e
cubrecamas	k u β ɾ e k ˈa m a s
cubren	k ˈu β ɾ e n
cubrimos	k u β ɾ ˈi m o s
cubrir	k u β ɾ ˈi ɾ
cubriéndolo	k u β ɾ j ˈe n d o l o
cuchara	k u ʧ ˈa ɾ a
cuchillo	k u ʧ ˈi ʝ o
cuenta	k w ˈe n t a
cuentan	k w ˈe n t a n
cuentas	k w ˈe n t a s
cuente	k w ˈe n t e
cuentecita	k w e n t e θ ˈi t a
cuento	k w ˈe n t o
cuentos	k w ˈe n t o s
cuerpo	k w ˈe ɾ p o
cuestan	k w ˈe s t a n
cuestionen	k w e s t j ˈo n e n
cuestiones	k w e s t j ˈo n e s
cuestión	k w e s t j ˈo n
cuida	k w ˈi ð a
cuidada	k w i ð ˈa ð a
cuidadas	k w i ð ˈa ð a s
cuidado	k w i ð ˈa ð o
cuidadoras	k w i ð a ð ˈo ɾ a s
cuidados	k w i ð ˈa ð o s
cuidadoso	k w i ð a ð ˈo s o
cuidadísimo	k w i ð a ð ˈi s i m o
cuidar	k w i ð ˈa ɾ
cuidarlo	k w i ð ˈa ɾ l o
cuidaré	k w i ð a ɾ ˈe
cuidas	k w i ð a s
culpar	k u l p ˈa ɾ
culpo	k ˈu l p o
cultivado	k u l t i β ˈa ð o
cultivadores	k u l t i β a ð ˈo ɾ e s
cultivaría	k u l t i β a ɾ ˈi a
cultivos	k u l t ˈi β o s
cultura	k u l t ˈu ɾ a
culturales	k u l t u ɾ ˈa l e s
culturas	k u l t ˈu ɾ a s
cumbre	k ˈu m b ɾ e
cumbres	k ˈu m b ɾ e s
cumpla	k ˈu m p l a
cumple	k ˈu m p l e
cumpleaños	k u m p l e ˈa ɲ o s
cumplen	k ˈu m p l e n
cumplido	k u m p l ˈi ð o
cumplimiento	k u m p l i m j ˈe n t o
cumplir	k u m p l ˈi ɾ
cumplirlas	k u m p l ˈi ɾ l a s
cumplo	k ˈu m p l o
cuneta	k u n ˈe t a
cuota	k w ˈo t a
cuotas	k w ˈo t a s
cupones	k u p ˈo n e s
cura	k ˈu ɾ a
curado	k u ɾ ˈa ð o
curamos	k u ɾ ˈa m o s
curar	k u ɾ ˈa ɾ
curas	k ˈu ɾ a s
curiosa	k u ɾ j ˈo s a
curiosas	k u ɾ j ˈo s a s
curiosidad	k u ɾ j o s i ð ˈa d
curiosidades	k u ɾ j o s i ð ˈa ð e s
curioso	k u ɾ j ˈo s o
curiosos	k u ɾ j ˈo s o s
curso	k ˈu ɾ s o
cursos	k ˈu ɾ s o s
curvas	k ˈu ɾ b a s
custodia	k u s t ˈo ð j a
custodiar	k u s t o ð j ˈa ɾ
cutis	k ˈu t i s
cutre	k ˈu t ɾ e
cuture'	k u t u ɾ ˈe s_
cuyas	k u ʝ a s
cuál	k w ˈa l
cuáles	k w ˈa l e s
cuándo	k w ˈa n d o
cuántas	k w ˈa n t a s
cuánto	k w ˈa n t o
cuáquera	k w ˈa k ˈe ɾ a
cuéntemelo	k w ˈe n t e m ˈe l o
cuñada	k u ɲ ˈa ð a
cálculo	k ˈa l k u l o
cálido	k ˈa l i ð o
cámaras	k ˈa m a ɾ a s
cáncer	k ˈa n θ e ɾ
cárcel	k ˈa ɾ θ e l
cáritas	k ˈa ɾ i t a s
cártel	k ˈa ɾ t e l
céntrico	θ ˈe n t ɾ i k o
círculo	θ ˈi ɾ k u l o
cítalo	θ ˈi t a l o
código	k ˈo ð i ɣ o
cómico	k ˈo m i k o
cómics	k ˈo m i k s
cómo	k ˈo m o
cómoda	k ˈo m o ð a
cómodas	k ˈo m o ð a s
cómodo	k ˈo m o ð o
cómplice	k ˈo m p l i θ e
cómputo	k ˈo m p u t o
córdoba	k ˈo ɾ d o β a
córdoda	k ˈo ɾ d o ð a
cúbranlo	k ˈu β ɾ a n l o
d	d
da	d a
daba	d ˈa β a
daban	d ˈa β a n
dalias	d ˈa l j a s
dalí	d a l ˈi
damnificados	d a m n i f i k ˈa ð o s
damos	d ˈa m o s
dan	d a n
danesa	d a n ˈe s a
dangping	d a n
dar	d ˈa ɾ
darias	d ˈa ɾ j a s
darle	d ˈa ɾ l e
darlos	d ˈa ɾ l o s
darme	d ˈa ɾ m e
darnos	d ˈa ɾ n o s
daros	d ˈa ɾ o s
darte	d ˈa ɾ t e
darán	d a ɾ ˈa n
darás	d a ɾ ˈa s
daré	d a ɾ ˈe
daría	d a ɾ ˈi a
daríamos	d a ɾ ˈi a m o s
darían	d a ɾ ˈi a n
das	d a s
datan	d ˈa t a n
datos	d ˈa t o s
dayán	d a ʝ ˈa n
dañado	d a ɲ ˈa ð o
daño	d ˈa ɲ o
daños	d ˈa ɲ o s
dc	d k
de	d e
debajo	d e β ˈa x o
deban	d ˈe β a n
debas	d ˈe β a s
debe	d ˈe β e
debemos	d e β ˈe m o s
deben	d ˈe β e n
deber	d e β ˈe ɾ
deberes	d e β ˈe ɾ e s
deberán	d e β e ɾ ˈa n
debería	d e β e ɾ ˈi a
deberíamos	d e β e ɾ ˈi a m o s
deberían	d e β e ɾ ˈi a n
deberías	d e β e ɾ ˈi a s
debido	d e β ˈi ð o
debilidades	d e β i l i ð ˈa ð e s
debió	d e β j ˈo
debod	d e β ˈo d
deboh	d e β ˈo
debí	d e β ˈi
debía	d e β ˈi a
debían	d e β ˈi a n
decadencia	d e k a ð ˈe n θ j a
decadente	d e k a ð ˈe n t e
decatlón	d e k a t l ˈo n
decencia	d e θ ˈe n θ j a
decepciona	d e θ e p θ j ˈo n a
decepcionado	d e θ e p θ j o n ˈa ð o
decepcionamos	d e θ e p θ j o n ˈa m o s
decepcionante	d e θ e p θ j o n ˈa n t e
decepcionar	d e θ e p θ j o n ˈa ɾ
decepcionó	d e θ e p θ j o n ˈo
decid	d e θ ˈi d
decida	d e θ ˈi ð a
deciden	d e θ ˈi ð e n
decidido	d e θ i ð ˈi ð o
decidimos	d e θ i ð ˈi m o s
decidir	d e θ i ð ˈi ɾ
decidirán	d e θ i ð i ɾ ˈa n
decidió	d e θ i ð j ˈo
decidí	d e θ i ð ˈi
decimocuarta	d e θ i m o k w ˈa ɾ t a
decir	d e θ ˈi ɾ
decirle	d e θ ˈi ɾ l e
decirles	d e θ ˈi ɾ l e s
decirlo	d e θ ˈi ɾ l o
decirme	d e θ ˈi ɾ m e
decirnos	d e θ ˈi ɾ n o s
decirte	d e θ ˈi ɾ t e
decisiones	d e θ i s j ˈo n e s
decisión	d e θ i s j ˈo n
declaración	d e k l a ɾ a θ j ˈo n
declarado	d e k l a ɾ ˈa ð o
declarar	d e k l a ɾ ˈa ɾ
declararlo	d e k l a ɾ ˈa ɾ l o
decorados	d e k o ɾ ˈa ð o s
decorativos	d e k o ɾ a t ˈi β o s
decoroso	d e k o ɾ ˈo s o
decretado	d e k ɾ e t ˈa ð o
decreto	d e k ɾ ˈe t o
decretos	d e k ɾ ˈe t o s
decía	d e θ ˈi a
decían	d e θ ˈi a n
decías	d e θ ˈi a s
decírmela	d e θ ˈi ɾ m e l a
decírmelo	d e θ ˈi ɾ m e l o
dedicación	d e ð i k a θ j ˈo n
dedicada	d e ð i k ˈa ð a
dedicadas	d e ð i k ˈa ð a s
dedicado	d e ð i k ˈa ð o
dedicamos	d e ð i k ˈa m o s
dedicarle	d e ð i k ˈa ɾ l e
dedicarse	d e ð i k ˈa ɾ s e
dedicarán	d e ð i k a ɾ ˈa n
dedicas	d e ð i k a s
dedos	d ˈe ð o s
deducir	d e ð u θ ˈi ɾ
defectos	d e f ˈe k t o s
defendido	d e f e n d ˈi ð o
defensa	d e f ˈe n s a
defensas	d e f ˈe n s a s
defienden	d e f j ˈe n d e n
definición	d e f i n i θ j ˈo n
definieron	d e f i n j ˈe ɾ o n
definir	d e f i n ˈi ɾ
definitiva	d e f i n i t ˈi β a
definitivamente	d e f i n i t ˈi β a m ˈe n t e
definitivo	d e f i n i t ˈi β o
definía	d e f i n ˈi a
defrauden	d e f ɾ ˈa w ð e n
defraudó	d e f ɾ a w ð ˈo
degrada	d e ɣ ɾ a ð a
dejaba	d e x ˈa β a
dejado	d e x ˈa ð o
dejamos	d e x ˈa m o s
dejan	d ˈe x a n
dejar	d e x ˈa ɾ
dejara	d e x ˈa ɾ a
dejaran	d e x ˈa ɾ a n
dejarlo	d e x ˈa ɾ l o
dejarme	d e x ˈa ɾ m e
dejaron	d e x ˈa ɾ o n
dejarse	d e x ˈa ɾ s e
dejarte	d e x ˈa ɾ t e
dejará	d e x a ɾ ˈa
dejarás	d e x a ɾ ˈa s
dejaré	d e x a ɾ ˈe
dejaría	d e x a ɾ ˈi a
dejas	d ˈe x a s
dejaste	d e x ˈa s t e
deje	d ˈe x e
dejemos	d e x ˈe m o s
dejen	d ˈe x e n
dejes	d ˈe x e s
dejo	d ˈe x o
dejé	d e x ˈe
dejó	d e x ˈo
del	d ˈe l
delante	d e l ˈa n t e
delanteras	d e l a n t ˈe ɾ a s
delegaciones	d e l e ɣ a θ j ˈo n e s
deleita	d e l ˈe j t a
deleitarse	d e l e j t ˈa ɾ s e
delfinario	d ˈe l f i n ˈa ɾ j o
delfines	d e l f ˈi n e s
delgadas	d e l g ˈa ð a s
delicadeza	d e l i k a ð ˈe θ a
deliciosas	d e l i θ j ˈo s a s
delicioso	d e l i θ j ˈo s o
deliciosos	d e l i θ j ˈo s o s
delimitar	d e l i m i t ˈa ɾ
delito	d e l ˈi t o
demanda	d e m ˈa n d a
demandante	d e m a n d ˈa n t e
demandas	d e m ˈa n d a s
demasiada	d e m a s j ˈa ð a
demasiado	d e m a s j ˈa ð o
demasiados	d e m a s j ˈa ð o s
deme	d e m e
democracia	d e m o k ɾ ˈa θ j a
democratización	d e m o k ɾ a t i θ a θ j ˈo n
demolición	d e m o l i θ j ˈo n
demora	d e m ˈo ɾ a
demoras	d e m ˈo ɾ a s
demostrado	d e m o s t ɾ ˈa ð o
demostrar	d e m o s t ɾ ˈa ɾ
demostraremos	d e m o s t ɾ a ɾ ˈe m o s
demostrarlo	d e m o s t ɾ ˈa ɾ l o
demostrarme	d e m o s t ɾ ˈa ɾ m e
demuestra	d e m w ˈe s t ɾ a
demás	d e m ˈa s
den	d e n
denostarla	d e n o s t ˈa ɾ l a
denota	d e n ˈo t a
dentro	d ˈe n t ɾ o
denuncia	d e n ˈu n θ j a
denuncian	d e n ˈu n θ j a n
denunciaré	d e n u n θ j a ɾ ˈe
denuncias	d e n ˈu n θ j a s
denúnciame	d e n ˈu n θ j a m e
departamento	d e p a ɾ t a m ˈe n t o
departamentos	d e p a ɾ t a m ˈe n t o s
depende	d e p ˈe n d e
dependemos	d e p e n d ˈe m o s
depender	d e p e n d ˈe ɾ
dependerá	d e p e n d e ɾ ˈa
dependiendo	d e p e n d j ˈe n d o
deporte	d e p ˈo ɾ t e
deportistas	d e p o ɾ t ˈi s t a s
depositan	d e p o s ˈi t a n
depositarios	d e p o s i t ˈa ɾ j o s
depresión	d e p ɾ e s j ˈo n
deprimidos	d e p ɾ i m ˈi ð o s
deprisa	d e p ɾ ˈi s a
depósito	d e p ˈo s i t o
depósitos	d e p ˈo s i t o s
derain	d e ɾ ˈa j n
derecha	d e ɾ ˈe ʧ a
derecho	d e ɾ ˈe ʧ o
derechos	d e ɾ ˈe ʧ o s
derivada	d e ɾ i β ˈa ð a
derroche	d e r ˈo ʧ e
des	d e s
desaceleración	d e s a θ e l e ɾ a θ j ˈo n
desaconsejo	d e s a k o n s ˈe x o
desactivada	d e s a k t i β ˈa ð a
desactivado	d e s a k t i β ˈa ð o
desafié	d e s a f j ˈe
desafortunado	d e s a f o ɾ t u n ˈa ð o
desafíos	d e s a f ˈi o s
desagradable	d e s a ɣ ɾ a ð ˈa β l e
desaliñado	d e s a l i ɲ ˈa ð o
desaparecidas	d e s a p a ɾ e θ ˈi ð a s
desaparecido	d e s a p a ɾ e θ ˈi ð o
desaprovechados	d e s a p ɾ o β e ʧ ˈa ð o s
desarmada	d e s a ɾ m ˈa ð a
desarrolla	d e s a r ˈo ʝ a
desarrollando	d e s a r o ʝ ˈa n d o
desarrollar	d e s a r o ʝ ˈa ɾ
desarrollará	d e s a r o ʝ a ɾ ˈa
desarrollo	d e s a r ˈo ʝ o
desastre	d e s ˈa s t ɾ e
desastrosa	d e s a s t ɾ ˈo s a
desautorizado	d e s a w t o ɾ i θ ˈa ð o
desautorizados	d e s a w t o ɾ i θ ˈa ð o s
desayuno	d e s a ʝ ˈu n o
desbordado	d e s b o ɾ d ˈa ð o
descansa	d e s k ˈa n s a
descansar	d e s k a n s ˈa ɾ
descanse	d e s k ˈa n s e
descanses	d e s k ˈa n s e s
descanso	d e s k ˈa n s o
descarga	d e s k ˈa ɾ g a
descargadas	d e s k a ɾ g ˈa ð a s
descargado	d e s k a ɾ g ˈa ð o
descargando	d e s k a ɾ g ˈa n d o
descarta	d e s k ˈa ɾ t a
descendientes	d e s θ e n d j ˈe n t e s
descenso	d e s θ ˈe n s o
descifraremos	d e s θ i f ɾ a ɾ ˈe m o s
descifrarla	d e s θ i f ɾ ˈa ɾ l a
descifrarlo	d e s θ i f ɾ ˈa ɾ l o
descolgó	d e s k o l g ˈo
descolocado	d e s k o l o k ˈa ð o
desconectada	d e s k o n e k t ˈa ð a
desconectadas	d e s k o n e k t ˈa ð a s
desconfiar	d e s k o m f j ˈa ɾ
desconfío	d e s k o m f ˈi o
desconocer	d e s k o n o θ ˈe ɾ
desconocida	d e s k o n o θ ˈi ð a
desconocido	d e s k o n o θ ˈi ð o
desconocíamos	d e s k o n o θ ˈi a m o s
descortés	d e s k o ɾ t ˈe s
describió	d e s k ɾ i β j ˈo
describía	d e s k ɾ i β ˈi a
descubierta	d e s k u β j ˈe ɾ t a
descubra	d e s k ˈu β ɾ a
descubriendo	d e s k u β ɾ j ˈe n d o
descubrieron	d e s k u β ɾ j ˈe ɾ o n
descubrir	d e s k u β ɾ ˈi ɾ
descubrirle	d e s k u β ɾ ˈi ɾ l e
descubriste	d e s k u β ɾ ˈi s t e
descubrí	d e s k u β ɾ ˈi
descuento	d e s k w ˈe n t o
descuentos	d e s k w ˈe n t o s
descuidadas	d e s k w i ð ˈa ð a s
descuidado	d e s k w i ð ˈa ð o
descuidados	d e s k w i ð ˈa ð o s
descuido	d e s k w ˈi ð o
desde	d e s d e
desdichado	d e s d i ʧ ˈa ð o
desea	d e s ˈe a
deseaba	d e s e ˈa β a
deseado	d e s e ˈa ð o
deseamos	d e s e ˈa m o s
desean	d e s ˈe a n
desearas	d e s e ˈa ɾ a s
desearía	d e s e a ɾ ˈi a
deseas	d e s ˈe a s
desembolso	d e s e m b ˈo l s o
desempañador	d e s e m p a ɲ a ð ˈo ɾ
desempleados	d e s e m p l e ˈa ð o s
desempleo	d e s e m p l ˈe o
desencadenó	d e s e n k a ð e n ˈo
desenfundes	d e s e m f u n d e s
desenterremos	d e s e n t e r ˈe m o s
deseo	d e s ˈe o
deseos	d e s ˈe o s
desequilibrio	d e s e k i l ˈi β ɾ j o
desesperaba	d e s e s p e ɾ ˈa β a
desesperada	d e s e s p e ɾ ˈa ð a
desesperado	d e s e s p e ɾ ˈa ð o
desesperanza	d e s e s p e ɾ ˈa n θ a
desestabilizador	d e s e s t a β i l i θ a ð ˈo ɾ
desestabilizar	d e s e s t a β i l i θ ˈa ɾ
desfile	d e s f ˈi l e
desgasta	d e s g ˈa s t a
desgastados	d e s g a s t ˈa ð o s
desgraciadamente	d e s g ɾ a θ j ˈa ð a m ˈe n t e
desgracias	d e s g ɾ ˈa θ j a s
deshabilitado	d e s a β i l i t ˈa ð o
deshacer	d e s a θ ˈe ɾ
deshacerse	d e s a θ ˈe ɾ s e
deshaces	d e s ˈa θ e s
deshicieron	d e ʃ i θ j ˈe ɾ o n
deshonraría	d e s o n r a ɾ ˈi a
desierta	d e s j ˈe ɾ t a
desierto	d e s j ˈe ɾ t o
designadas	d e s i g n ˈa ð a s
desigualdad	d e s i ɣ w a l d ˈa d
deslicé	d e s l i θ ˈe
deslindado	d e s l i n d ˈa ð o
desmentido	d e s m e n t ˈi ð o
desnudo	d e s n ˈu ð o
desorden	d e s ˈo ɾ d e n
despachan	d e s p ˈa ʧ a n
despacho	d e s p ˈa ʧ o
despacio	d e s p ˈa θ j o
despedida	d e s p e ð ˈi ð a
despedido	d e s p e ð ˈi ð o
despedir	d e s p e ð ˈi ɾ
despedirse	d e s p e ð ˈi ɾ s e
despedirte	d e s p e ð ˈi ɾ t e
desperdiciamos	d e s p e ɾ d i θ j ˈa m o s
desperdicio	d e s p e ɾ d ˈi θ j o
despertar	d e s p e ɾ t ˈa ɾ
despertarte	d e s p e ɾ t ˈa ɾ t e
despertaré	d e s p e ɾ t a ɾ ˈe
desperté	d e s p e ɾ t ˈe
despertó	d e s p e ɾ t ˈo
despidieron	d e s p i ð j ˈe ɾ o n
despidos	d e s p ˈi ð o s
despierta	d e s p j ˈe ɾ t a
despiertas	d e s p j ˈe ɾ t a s
despierto	d e s p j ˈe ɾ t o
despiertos	d e s p j ˈe ɾ t o s
desplazan	d e s p l ˈa θ a n
desplazarse	d e s p l a θ ˈa ɾ s e
despliegue	d e s p l j ˈe ɣ w e
desprecian	d e s p ɾ ˈe θ j a n
desproporciones	d e s p ɾ o p o ɾ θ j ˈo n e s
despropósito	d e s p ɾ o p ˈo s i t o
despuntar	d e s p u n t ˈa ɾ
después	d e s p w ˈe s
destaca	d e s t ˈa k a
destacadas	d e s t a k ˈa ð a s
destacado	d e s t a k ˈa ð o
destacamos	d e s t a k ˈa m o s
destacan	d e s t ˈa k a n
destacar	d e s t a k ˈa ɾ
destacaría	d e s t a k a ɾ ˈi a
destaco	d e s t ˈa k o
destartalada	d e s t a ɾ t a l ˈa ð a
destilan	d e s t ˈi l a n
destinada	d e s t i n ˈa ð a
destinado	d e s t i n ˈa ð o
destinaron	d e s t i n ˈa ɾ o n
destino	d e s t ˈi n o
destinos	d e s t ˈi n o s
destripador	d e s t ɾ i p a ð ˈo ɾ
destrozado	d e s t ɾ o θ ˈa ð o
destrucción	d e s t ɾ u k θ j ˈo n
destructor	d e s t ɾ u k t ˈo ɾ
destruido	d e s t ɾ w ˈi ð o
destruimos	d e s t ɾ w ˈi m o s
destruir	d e s t ɾ w ˈi ɾ
destruirlo	d e s t ɾ w ˈi ɾ l o
desvelar	d e s b e l ˈa ɾ
detallado	d e t a ʝ ˈa ð o
detallar	d e t a ʝ ˈa ɾ
detalle	d e t ˈa ʝ e
detalles	d e t ˈa ʝ e s
detección	d e t e k θ j ˈo n
detecta	d e t ˈe k t a
detectamos	d e t e k t ˈa m o s
detectarse	d e t e k t ˈa ɾ s e
detendrá	d e t e n d ɾ ˈa
detendré	d e t e n d ɾ ˈe
detenerte	d e t e n ˈe ɾ t e
detengan	d e t ˈe n g a n
detenida	d e t e n ˈi ð a
detenido	d e t e n ˈi ð o
determinada	d e t e ɾ m i n ˈa ð a
determinadas	d e t e ɾ m i n ˈa ð a s
determinante	d e t e ɾ m i n ˈa n t e
detestara	d e t e s t ˈa ɾ a
detesto	d e t ˈe s t o
detrás	d e t ɾ ˈa s
deuda	d ˈe w ð a
deudas	d ˈe w ð a s
devastador	d e β a s t a ð ˈo ɾ
devengarán	d e β e n g a ɾ ˈa n
devenguen	d e β ˈe n ɣ e n
devolver	d e β o l b ˈe ɾ
devolveremos	d e β o l b e ɾ ˈe m o s
devuelto	d e β w ˈe l t o
devuelven	d e β w ˈe l b e n
devuélveme	d e β w ˈe l b e m e
di	d i
diagnosticado	d j a g n o s t i k ˈa ð o
diagnosticados	d j a g n o s t i k ˈa ð o s
dialogó	d j a l o ɣ ˈo
diamantes	d j a m ˈa n t e s
diaria	d j ˈa ɾ j a
diarias	d j ˈa ɾ j a s
diarios	d i ˈa ɾ j o s
diarrea	d j a r ˈe a
dibujaba	d i β u x ˈa β a
dibujada	d i β u x ˈa ð a
dibujo	d i β ˈu x o
dicción	d i k θ j ˈo n
dicen	d ˈi θ e n
dicha	d ˈi ʧ a
dichas	d ˈi ʧ a s
dicho	d ˈi ʧ o
dichos	d ˈi ʧ o s
diciembre	d i θ j ˈe m b ɾ e
diciendo	d i θ j ˈe n d o
diciéndome	d i θ j ˈe n d o m e
dictados	d i k t ˈa ð o s
didriksen	d i ð ɾ ˈi k s e n
didáctica	d i ð ˈa k t i k a
didáctico	d i ð ˈa k t i k o
diecinueve	d j e θ i n w ˈe β e
dieciocho	d j e θ j ˈo ʧ o
diecisiete	d j e θ i s j ˈe t e
dieciséis	d j e θ i s ˈe j s
dientes	d j ˈe n t e s
diera	d j ˈe ɾ a
dieron	d j ˈe ɾ o n
diese	d j ˈe s e
dietrichson	d j e t ɾ ˈi ʧ s o n
diferencia	d i f e ɾ ˈe n θ j a
diferenciadas	d i f e ɾ e n θ j ˈa ð a s
diferencial	d i f e ɾ e n θ j ˈa l
diferencias	d i f e ɾ ˈe n θ j a s
diferente	d i f e ɾ ˈe n t e
diferentes	d i f e ɾ ˈe n t e s
dificultades	d i f i k u l t ˈa ð e s
difieren	d i f j ˈe ɾ e n
difteria	d i f t ˈe ɾ j a
difícil	d i f ˈi θ i l
difíciles	d i f ˈi θ i l e s
difícilmente	d i f ˈi θ i l m ˈe n t e
diga	d ˈi ɣ a
digas	d ˈi ɣ a s
digitales	d i x i t ˈa l e s
dignas	d ˈi g n a s
dignidad	d i g n i ð ˈa d
digno	d ˈi g n o
digo	d ˈi ɣ o
dije	d ˈi x e
dijera	d i x ˈe ɾ a
dijeron	d i x ˈe ɾ o n
dijimos	d i x ˈi m o s
dijiste	d i x ˈi s t e
dijo	d ˈi x o
dile	d ˈi l e
diligencias	d i l i x ˈe n θ j a s
dilo	d ˈi l o
dilucidar	d i l u θ i ð ˈa ɾ
dimos	d ˈi m o s
dinamita	d i n a m ˈi t a
dinerete	d i n e ɾ ˈe t e
dinero	d i n ˈe ɾ o
dinosaurios	d i n o s ˈa w ɾ j o s
dinámica	d i n ˈa m i k a
dio	d j o
diosa	d j ˈo s a
dioses	d j ˈo s e s
diplomática	d i p l o m ˈa t i k a
diplomático	d i p l o m ˈa t i k o
diplomáticos	d i p l o m ˈa t i k o s
diputación	d i p u t a θ j ˈo n
diputados	d i p u t ˈa ð o s
direcciones	d i ɾ e k θ j ˈo n e s
dirección	d i ɾ e k θ j ˈo n
directa	d i ɾ ˈe k t a
directamente	d i ɾ ˈe k t a m ˈe n t e
directo	d i ɾ ˈe k t o
directora	d i ɾ e k t ˈo ɾ a
dirigidas	d i ɾ i x ˈi ð a s
dirigido	d i ɾ i x ˈi ð o
dirigir	d i ɾ i x ˈi ɾ
dirija	d i ɾ ˈi x a
dirá	d i ɾ ˈa
dirás	d i ɾ ˈa s
diré	d i ɾ ˈe
diría	d i ɾ ˈi a
discapacitados	d i s k a p a θ i t ˈa ð o s
discoteca	d i s k o t ˈe k a
discreta	d i s k ɾ ˈe t a
disculpado	d i s k u l p ˈa ð o
disculpamos	d i s k u l p ˈa m o s
disculpas	d i s k ˈu l p a s
disculpe	d i s k ˈu l p e
discusiones	d i s k u s j ˈo n e s
discusión	d i s k u s j ˈo n
discutiendo	d i s k u t j ˈe n d o
discutir	d i s k u t ˈi ɾ
discutían	d i s k u t ˈi a n
diseñado	d i s e ɲ ˈa ð o
diseño	d i s ˈe ɲ o
diseños	d i s ˈe ɲ o s
disfraz	d i s f ɾ ˈa θ
disfruta	d i s f ɾ ˈu t a
disfrutaba	d i s f ɾ u t ˈa β a
disfrutado	d i s f ɾ u t ˈa ð o
disfrutamos	d i s f ɾ u t ˈa m o s
disfrutan	d i s f ɾ ˈu t a n
disfrutando	d i s f ɾ u t ˈa n d o
disfrutar	d i s f ɾ u t ˈa ɾ
disfrutarlo	d i s f ɾ u t ˈa ɾ l o
disfrutaron	d i s f ɾ u t ˈa ɾ o n
disfrutas	d i s f ɾ ˈu t a s
disfruto	d i s f ɾ ˈu t o
disfruté	d i s f ɾ u t ˈe
disfrutó	d i s f ɾ u t ˈo
disfrútenlo	d i s f ɾ ˈu t ˈe n l o
disgusta	d i s g ˈu s t a
disminuido	d i s m i n w ˈi ð o
disminuye	d i s m i n ˈu ʝ e
disminuyó	d i s m i n u ʝ ˈo
disparado	d i s p a ɾ ˈa ð o
disparar	d i s p a ɾ ˈa ɾ
disparó	d i s p a ɾ ˈo
dispensadores	d i s p e n s a ð ˈo ɾ e s
dispersas	d i s p ˈe ɾ s a s
dispone	d i s p ˈo n e
disponemos	d i s p o n ˈe m o s
disponen	d i s p ˈo n e n
dispones	d i s p ˈo n e s
disponible	d i s p o n ˈi β l e
disponibles	d i s p o n ˈi β l e s
disponían	d i s p o n ˈi a n
disposiciones	d i s p o s i θ j ˈo n e s
disposición	d i s p o s i θ j ˈo n
dispositivo	d i s p o s i t ˈi β o
dispositivos	d i s p o s i t ˈi β o s
dispuesto	d i s p w ˈe s t o
distancia	d i s t ˈa n θ j a
distinguida	d i s t i n ɣ ˈi ð a
distinguidos	d i s t i n ɣ ˈi ð o s
distinguir	d i s t i n ɣ ˈi ɾ
distinta	d i s t ˈi n t a
distintas	d i s t ˈi n t a s
distintivo	d i s t i n t ˈi β o
distinto	d i s t ˈi n t o
distintos	d i s t ˈi n t o s
distorsionada	d i s t o ɾ s j o n ˈa ð a
distraído	d i s t ɾ a ˈi ð o
distribución	d i s t ɾ i β u θ j ˈo n
distrito	d i s t ɾ ˈi t o
disturbios	d i s t ˈu ɾ b j o s
ditrich	d i t ɾ ˈi ʧ
diurno	d j ˈu ɾ n o
diversas	d i β ˈe ɾ s a s
diversidad	d i β e ɾ s i ð ˈa d
diversiones	d i β e ɾ s j ˈo n e s
diversión	d i β e ɾ s j ˈo n
diversos	d i β ˈe ɾ s o s
divertida	d i β e ɾ t ˈi ð a
divertidas	d i β e ɾ t ˈi ð a s
divertido	d i β e ɾ t ˈi ð o
divertidos	d i β e ɾ t ˈi ð o s
divertirme	d i β e ɾ t ˈi ɾ m e
divertirse	d i β e ɾ t ˈi ɾ s e
dividendo	d i β i ð ˈe n d o
divididas	d i β i ð ˈi ð a s
dividido	d i β i ð ˈi ð o
divierta	d i β j ˈe ɾ t a
diviertes	d i β j ˈe ɾ t e s
divinamente	d i β i n a m ˈe n t e
división	d i β i s j ˈo n
divorcio	d i β ˈo ɾ θ j o
divorcié	d i β o ɾ θ j ˈe
divulgadores	d i β u l g a ð ˈo ɾ e s
diálogo	d j ˈa l o ɣ o
doblamos	d o β l ˈa m o s
doblemente	d ˈo β l e m ˈe n t e
doblo	d ˈo β l o
doce	d ˈo θ e
docencia	d o θ ˈe n θ j a
doctorado	d o k t o ɾ ˈa ð o
documentación	d o k u m e n t a θ j ˈo n
documental	d o k u m e n t ˈa l
documento	d o k u m ˈe n t o
documentos	d o k u m ˈe n t o s
dolor	d o l ˈo ɾ
dolía	d o l ˈi a
domicilio	d o m i θ ˈi l j o
domicilios	d o m i θ ˈi l j o s
domingo	d o m ˈi n g o
dominios	d o m ˈi n j o s
don	d o n
donaciones	d o n a θ j ˈo n e s
donantes	d o n ˈa n t e s
donarles	d o n ˈa ɾ l e s
doncella	d o n θ ˈe ʝ a
dopar	d o p ˈa ɾ
doradas	d o ɾ ˈa ð a s
dormida	d o ɾ m ˈi ð a
dormido	d o ɾ m ˈi ð o
dormimos	d o ɾ m ˈi m o s
dormir	d o ɾ m ˈi ɾ
dormitorios	d o ɾ m i t ˈo ɾ j o s
